Molecular Weight,C,Compositions,dHex,Hex,HexNAc,NeuAc,GalNAcS,GalS,GlcNAcP,GlcNAcS,NeuGc,Kdn,Fuc,Xyl,NeuAcAc,Water,Adduct/Replacement,Adduct Amount,Peptide Sequence,Peptide Modification,Peptide Missed Cleavage Number,Number of Glycan Attachment to Peptide,Start AA,End AA
2078.765899213701,0,[0;5;4;0;0;0;0;0;0;0;3;0;0;1],0,5,4,0,0,0,0,0,0,0,3,0,0,1,/0,0,,,0,0,0,0
1973.7345394487,0,[0;4;5;0;0;0;0;0;0;0;2;0;0;1],0,4,5,0,0,0,0,0,0,0,2,0,0,1,/0,0,,,0,0,0,0
1989.7294540787,0,[0;5;5;0;0;0;0;0;0;0;1;0;0;1],0,5,5,0,0,0,0,0,0,0,1,0,0,1,/0,0,,,0,0,0,0
2733.9731108487003,0,[0;6;5;2;0;0;0;0;0;0;1;0;0;1],0,6,5,2,0,0,0,0,0,0,1,0,0,1,/0,0,,,0,0,0,0
1720.5918978936998,0,[0;8;2;0;0;0;0;0;0;0;0;0;0;1],0,8,2,0,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
2281.8452718187,0,[0;5;5;0;0;0;0;0;0;0;3;0;0;1],0,5,5,0,0,0,0,0,0,0,3,0,0,1,/0,0,,,0,0,0,0
2313.8351010787,0,[0;7;5;0;0;0;0;0;0;0;1;0;0;1],0,7,5,0,0,0,0,0,0,0,1,0,0,1,/0,0,,,0,0,0,0
2313.8351010787,0,[0;7;5;0;0;0;0;0;0;0;1;0;0;1],0,7,5,0,0,0,0,0,0,0,1,0,0,1,/0,0,,,0,0,0,0
3425.251756163701,0,[0;9;6;0;0;0;0;0;0;0;5;0;0;1],0,9,6,0,0,0,0,0,0,0,5,0,0,1,/0,0,,,0,0,0,0
2914.061651188701,0,[0;8;5;0;0;0;0;0;0;0;4;0;0;1],0,8,5,0,0,0,0,0,0,0,4,0,0,1,/0,0,,,0,0,0,0
2587.9152019786998,0,[0;6;5;2;0;0;0;0;0;0;0;0;0;1],0,6,5,2,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
